method_id,view,n,arm,stratum_id,block_id,cross,within,stress,cross_minus_within,cross_available_anchors,cross_missing_anchor_ids,cross_available_anchor_mean_secondary,within_missing_anchor_ids,stress_missing_anchor_ids
cosine_distance_v1,retained_prose,4,hash50,stratum-02,stratum-02-block-06,,,,,1,"[""A/X"",""A/Y"",""B/Y""]",1.0,"[""A/X"",""A/Y"",""B/X"",""B/Y""]","[""A/X"",""A/Y"",""B/X"",""B/Y""]"
cosine_distance_v1,retained_prose,4,hash50,stratum-02,stratum-02-block-07,,,,,2,"[""A/X"",""B/X""]",1.0,"[""A/Y"",""B/Y""]","[""A/X"",""B/Y""]"
cosine_distance_v1,retained_prose,4,hash50,stratum-02,stratum-02-block-08,,,,,0,"[""A/X"",""A/Y"",""B/X"",""B/Y""]",,"[""A/X"",""A/Y"",""B/X"",""B/Y""]","[""A/X"",""B/Y""]"
cosine_distance_v1,retained_prose,4,hash50,stratum-02,stratum-02-block-09,,,,,1,"[""A/Y"",""B/X"",""B/Y""]",1.0,"[""A/X"",""B/X"",""B/Y""]","[""A/Y"",""B/X"",""B/Y""]"
cosine_distance_v1,retained_prose,4,hash50,stratum-02,stratum-02-block-10,,,,,0,"[""A/X"",""A/Y"",""B/X"",""B/Y""]",,"[""A/X"",""A/Y"",""B/X"",""B/Y""]","[""A/Y"",""B/X""]"
cosine_distance_v1,retained_prose,4,hash50,stratum-03,stratum-03-block-01,,,,,0,"[""A/X"",""A/Y"",""B/X"",""B/Y""]",,"[""A/X"",""A/Y"",""B/X"",""B/Y""]","[""A/X"",""A/Y"",""B/X"",""B/Y""]"
cosine_distance_v1,retained_prose,4,hash50,stratum-03,stratum-03-block-02,,,,,0,"[""A/X"",""A/Y"",""B/X"",""B/Y""]",,"[""A/X"",""A/Y"",""B/X"",""B/Y""]","[""A/X"",""A/Y"",""B/X"",""B/Y""]"
cosine_distance_v1,retained_prose,4,hash50,stratum-03,stratum-03-block-03,,,,,0,"[""A/X"",""A/Y"",""B/X"",""B/Y""]",,"[""A/X"",""A/Y"",""B/X"",""B/Y""]","[""A/X"",""A/Y"",""B/X"",""B/Y""]"
cosine_distance_v1,retained_prose,4,hash50,stratum-03,stratum-03-block-04,,,,,0,"[""A/X"",""A/Y"",""B/X"",""B/Y""]",,"[""A/X"",""A/Y"",""B/X"",""B/Y""]","[""A/X"",""A/Y"",""B/X"",""B/Y""]"
cosine_distance_v1,retained_prose,4,hash50,stratum-03,stratum-03-block-05,,,,,0,"[""A/X"",""A/Y"",""B/X"",""B/Y""]",,"[""A/X"",""A/Y"",""B/X"",""B/Y""]","[""A/Y"",""B/X"",""B/Y""]"
cosine_distance_v1,retained_prose,4,hash50,stratum-03,stratum-03-block-06,,,,,2,"[""A/Y"",""B/Y""]",0.5,"[""A/X"",""B/X""]","[""A/Y"",""B/X""]"
cosine_distance_v1,retained_prose,4,hash50,stratum-03,stratum-03-block-07,,,,,1,"[""A/X"",""A/Y"",""B/Y""]",0.0,"[""A/X"",""B/X"",""B/Y""]","[""A/X"",""A/Y"",""B/X"",""B/Y""]"
cosine_distance_v1,retained_prose,4,hash50,stratum-03,stratum-03-block-08,,,,,3,"[""A/X""]",0.3333333333333333,"[""A/X""]","[""A/X""]"
cosine_distance_v1,retained_prose,4,hash50,stratum-03,stratum-03-block-09,,,,,1,"[""A/X"",""A/Y"",""B/X""]",1.0,"[""A/Y"",""B/X"",""B/Y""]","[""A/X"",""A/Y"",""B/X"",""B/Y""]"
