anchor_id,arm,block_id,category,method_id,n,raw_distance,reason_codes,score,status,stratum_id,view,context_condition,label
B/Y,full,stratum-01-block-04,same_account_same_community,cosine_distance_v1,4,0.20618456615326108,[],0.20618456615326108,ok,stratum-01,retained_prose,within_community,same_author
B/Y,full,stratum-01-block-04,different_account_same_community,cosine_distance_v1,4,0.17664461096154693,[],0.17664461096154693,ok,stratum-01,retained_prose,within_community,different_author
B/Y,full,stratum-01-block-04,same_account_different_community,cosine_distance_v1,4,0.21122592306574361,[],0.21122592306574361,ok,stratum-01,retained_prose,cross_community,same_author
B/Y,full,stratum-01-block-04,different_account_different_community,cosine_distance_v1,4,0.17671260724747506,[],0.17671260724747506,ok,stratum-01,retained_prose,cross_community,different_author
A/X,full,stratum-01-block-05,same_account_same_community,cosine_distance_v1,4,0.13072509676590705,[],0.13072509676590705,ok,stratum-01,retained_prose,within_community,same_author
A/X,full,stratum-01-block-05,different_account_same_community,cosine_distance_v1,4,0.1811460951775885,[],0.1811460951775885,ok,stratum-01,retained_prose,within_community,different_author
A/X,full,stratum-01-block-05,same_account_different_community,cosine_distance_v1,4,0.1557620417623632,[],0.1557620417623632,ok,stratum-01,retained_prose,cross_community,same_author
A/X,full,stratum-01-block-05,different_account_different_community,cosine_distance_v1,4,0.2359567622591242,[],0.2359567622591242,ok,stratum-01,retained_prose,cross_community,different_author
A/Y,full,stratum-01-block-05,same_account_same_community,cosine_distance_v1,4,0.17542484076180298,[],0.17542484076180298,ok,stratum-01,retained_prose,within_community,same_author
A/Y,full,stratum-01-block-05,different_account_same_community,cosine_distance_v1,4,0.234386538328753,[],0.234386538328753,ok,stratum-01,retained_prose,within_community,different_author
A/Y,full,stratum-01-block-05,same_account_different_community,cosine_distance_v1,4,0.17713797056369907,[],0.17713797056369907,ok,stratum-01,retained_prose,cross_community,same_author
A/Y,full,stratum-01-block-05,different_account_different_community,cosine_distance_v1,4,0.1861665140936143,[],0.1861665140936143,ok,stratum-01,retained_prose,cross_community,different_author
B/X,full,stratum-01-block-05,same_account_same_community,cosine_distance_v1,4,0.15693890201544902,[],0.15693890201544902,ok,stratum-01,retained_prose,within_community,same_author
B/X,full,stratum-01-block-05,different_account_same_community,cosine_distance_v1,4,0.18326127136134884,[],0.18326127136134884,ok,stratum-01,retained_prose,within_community,different_author
B/X,full,stratum-01-block-05,same_account_different_community,cosine_distance_v1,4,0.18971659987261913,[],0.18971659987261913,ok,stratum-01,retained_prose,cross_community,same_author
B/X,full,stratum-01-block-05,different_account_different_community,cosine_distance_v1,4,0.20055623374925946,[],0.20055623374925946,ok,stratum-01,retained_prose,cross_community,different_author
B/Y,full,stratum-01-block-05,same_account_same_community,cosine_distance_v1,4,0.18061727559989582,[],0.18061727559989582,ok,stratum-01,retained_prose,within_community,same_author
B/Y,full,stratum-01-block-05,different_account_same_community,cosine_distance_v1,4,0.21005912661055492,[],0.21005912661055492,ok,stratum-01,retained_prose,within_community,different_author
B/Y,full,stratum-01-block-05,same_account_different_community,cosine_distance_v1,4,0.16160077326017253,[],0.16160077326017253,ok,stratum-01,retained_prose,cross_community,same_author
B/Y,full,stratum-01-block-05,different_account_different_community,cosine_distance_v1,4,0.1844568753053918,[],0.1844568753053918,ok,stratum-01,retained_prose,cross_community,different_author
A/X,full,stratum-01-block-06,same_account_same_community,cosine_distance_v1,4,0.16643011985196632,[],0.16643011985196632,ok,stratum-01,retained_prose,within_community,same_author
A/X,full,stratum-01-block-06,different_account_same_community,cosine_distance_v1,4,0.20071346837959625,[],0.20071346837959625,ok,stratum-01,retained_prose,within_community,different_author
A/X,full,stratum-01-block-06,same_account_different_community,cosine_distance_v1,4,0.18816280023322518,[],0.18816280023322518,ok,stratum-01,retained_prose,cross_community,same_author
A/X,full,stratum-01-block-06,different_account_different_community,cosine_distance_v1,4,0.17256893714521193,[],0.17256893714521193,ok,stratum-01,retained_prose,cross_community,different_author
A/Y,full,stratum-01-block-06,same_account_same_community,cosine_distance_v1,4,0.15230847649669466,[],0.15230847649669466,ok,stratum-01,retained_prose,within_community,same_author
A/Y,full,stratum-01-block-06,different_account_same_community,cosine_distance_v1,4,0.16999178984508012,[],0.16999178984508012,ok,stratum-01,retained_prose,within_community,different_author
A/Y,full,stratum-01-block-06,same_account_different_community,cosine_distance_v1,4,0.14165804875327748,[],0.14165804875327748,ok,stratum-01,retained_prose,cross_community,same_author
A/Y,full,stratum-01-block-06,different_account_different_community,cosine_distance_v1,4,0.17688205788319566,[],0.17688205788319566,ok,stratum-01,retained_prose,cross_community,different_author
B/X,full,stratum-01-block-06,same_account_same_community,cosine_distance_v1,4,0.13649306772069514,[],0.13649306772069514,ok,stratum-01,retained_prose,within_community,same_author
B/X,full,stratum-01-block-06,different_account_same_community,cosine_distance_v1,4,0.1580883366646364,[],0.1580883366646364,ok,stratum-01,retained_prose,within_community,different_author
B/X,full,stratum-01-block-06,same_account_different_community,cosine_distance_v1,4,0.16302787442444455,[],0.16302787442444455,ok,stratum-01,retained_prose,cross_community,same_author
B/X,full,stratum-01-block-06,different_account_different_community,cosine_distance_v1,4,0.18770606270246515,[],0.18770606270246515,ok,stratum-01,retained_prose,cross_community,different_author
B/Y,full,stratum-01-block-06,same_account_same_community,cosine_distance_v1,4,0.16149721561174768,[],0.16149721561174768,ok,stratum-01,retained_prose,within_community,same_author
B/Y,full,stratum-01-block-06,different_account_same_community,cosine_distance_v1,4,0.193023008549275,[],0.193023008549275,ok,stratum-01,retained_prose,within_community,different_author
B/Y,full,stratum-01-block-06,same_account_different_community,cosine_distance_v1,4,0.15709129367682528,[],0.15709129367682528,ok,stratum-01,retained_prose,cross_community,same_author
B/Y,full,stratum-01-block-06,different_account_different_community,cosine_distance_v1,4,0.15988638888328066,[],0.15988638888328066,ok,stratum-01,retained_prose,cross_community,different_author
A/X,full,stratum-01-block-07,same_account_same_community,cosine_distance_v1,4,0.14553805865928648,[],0.14553805865928648,ok,stratum-01,retained_prose,within_community,same_author
A/X,full,stratum-01-block-07,different_account_same_community,cosine_distance_v1,4,0.1824694489022084,[],0.1824694489022084,ok,stratum-01,retained_prose,within_community,different_author
A/X,full,stratum-01-block-07,same_account_different_community,cosine_distance_v1,4,0.1544898757334342,[],0.1544898757334342,ok,stratum-01,retained_prose,cross_community,same_author
A/X,full,stratum-01-block-07,different_account_different_community,cosine_distance_v1,4,0.17957550013243884,[],0.17957550013243884,ok,stratum-01,retained_prose,cross_community,different_author
A/Y,full,stratum-01-block-07,same_account_same_community,cosine_distance_v1,4,0.13116542798731312,[],0.13116542798731312,ok,stratum-01,retained_prose,within_community,same_author
A/Y,full,stratum-01-block-07,different_account_same_community,cosine_distance_v1,4,0.17078122271764506,[],0.17078122271764506,ok,stratum-01,retained_prose,within_community,different_author
A/Y,full,stratum-01-block-07,same_account_different_community,cosine_distance_v1,4,0.15433828707153374,[],0.15433828707153374,ok,stratum-01,retained_prose,cross_community,same_author
A/Y,full,stratum-01-block-07,different_account_different_community,cosine_distance_v1,4,0.18816449290159099,[],0.18816449290159099,ok,stratum-01,retained_prose,cross_community,different_author
B/X,full,stratum-01-block-07,same_account_same_community,cosine_distance_v1,4,0.14405713308518997,[],0.14405713308518997,ok,stratum-01,retained_prose,within_community,same_author
B/X,full,stratum-01-block-07,different_account_same_community,cosine_distance_v1,4,0.20273783696500147,[],0.20273783696500147,ok,stratum-01,retained_prose,within_community,different_author
B/X,full,stratum-01-block-07,same_account_different_community,cosine_distance_v1,4,0.1544827538050214,[],0.1544827538050214,ok,stratum-01,retained_prose,cross_community,same_author
B/X,full,stratum-01-block-07,different_account_different_community,cosine_distance_v1,4,0.2262030329887892,[],0.2262030329887892,ok,stratum-01,retained_prose,cross_community,different_author
B/Y,full,stratum-01-block-07,same_account_same_community,cosine_distance_v1,4,0.14059591849612374,[],0.14059591849612374,ok,stratum-01,retained_prose,within_community,same_author
B/Y,full,stratum-01-block-07,different_account_same_community,cosine_distance_v1,4,0.2050531404029291,[],0.2050531404029291,ok,stratum-01,retained_prose,within_community,different_author
B/Y,full,stratum-01-block-07,same_account_different_community,cosine_distance_v1,4,0.14356463860185964,[],0.14356463860185964,ok,stratum-01,retained_prose,cross_community,same_author
B/Y,full,stratum-01-block-07,different_account_different_community,cosine_distance_v1,4,0.2082043764331234,[],0.2082043764331234,ok,stratum-01,retained_prose,cross_community,different_author
A/X,full,stratum-01-block-08,same_account_same_community,cosine_distance_v1,4,0.16073205552186332,[],0.16073205552186332,ok,stratum-01,retained_prose,within_community,same_author
A/X,full,stratum-01-block-08,different_account_same_community,cosine_distance_v1,4,0.1579929380120726,[],0.1579929380120726,ok,stratum-01,retained_prose,within_community,different_author
A/X,full,stratum-01-block-08,same_account_different_community,cosine_distance_v1,4,0.14334048689896017,[],0.14334048689896017,ok,stratum-01,retained_prose,cross_community,same_author
A/X,full,stratum-01-block-08,different_account_different_community,cosine_distance_v1,4,0.16195902420650488,[],0.16195902420650488,ok,stratum-01,retained_prose,cross_community,different_author
A/Y,full,stratum-01-block-08,same_account_same_community,cosine_distance_v1,4,0.1347415197880074,[],0.1347415197880074,ok,stratum-01,retained_prose,within_community,same_author
A/Y,full,stratum-01-block-08,different_account_same_community,cosine_distance_v1,4,0.17085140872414917,[],0.17085140872414917,ok,stratum-01,retained_prose,within_community,different_author
A/Y,full,stratum-01-block-08,same_account_different_community,cosine_distance_v1,4,0.1462116144734431,[],0.1462116144734431,ok,stratum-01,retained_prose,cross_community,same_author
A/Y,full,stratum-01-block-08,different_account_different_community,cosine_distance_v1,4,0.16812842159446573,[],0.16812842159446573,ok,stratum-01,retained_prose,cross_community,different_author
B/X,full,stratum-01-block-08,same_account_same_community,cosine_distance_v1,4,0.1549892050761078,[],0.1549892050761078,ok,stratum-01,retained_prose,within_community,same_author
B/X,full,stratum-01-block-08,different_account_same_community,cosine_distance_v1,4,0.18904363669904545,[],0.18904363669904545,ok,stratum-01,retained_prose,within_community,different_author
B/X,full,stratum-01-block-08,same_account_different_community,cosine_distance_v1,4,0.1485240122344882,[],0.1485240122344882,ok,stratum-01,retained_prose,cross_community,same_author
B/X,full,stratum-01-block-08,different_account_different_community,cosine_distance_v1,4,0.17077309828827336,[],0.17077309828827336,ok,stratum-01,retained_prose,cross_community,different_author
B/Y,full,stratum-01-block-08,same_account_same_community,cosine_distance_v1,4,0.14775276202999799,[],0.14775276202999799,ok,stratum-01,retained_prose,within_community,same_author
B/Y,full,stratum-01-block-08,different_account_same_community,cosine_distance_v1,4,0.1785625143264643,[],0.1785625143264643,ok,stratum-01,retained_prose,within_community,different_author
B/Y,full,stratum-01-block-08,same_account_different_community,cosine_distance_v1,4,0.14568268523484496,[],0.14568268523484496,ok,stratum-01,retained_prose,cross_community,same_author
B/Y,full,stratum-01-block-08,different_account_different_community,cosine_distance_v1,4,0.1847560682467828,[],0.1847560682467828,ok,stratum-01,retained_prose,cross_community,different_author
A/X,full,stratum-01-block-09,same_account_same_community,cosine_distance_v1,4,0.1455455900617214,[],0.1455455900617214,ok,stratum-01,retained_prose,within_community,same_author
A/X,full,stratum-01-block-09,different_account_same_community,cosine_distance_v1,4,0.18117171841176138,[],0.18117171841176138,ok,stratum-01,retained_prose,within_community,different_author
A/X,full,stratum-01-block-09,same_account_different_community,cosine_distance_v1,4,0.15192797089852472,[],0.15192797089852472,ok,stratum-01,retained_prose,cross_community,same_author
A/X,full,stratum-01-block-09,different_account_different_community,cosine_distance_v1,4,0.18501290011301796,[],0.18501290011301796,ok,stratum-01,retained_prose,cross_community,different_author
A/Y,full,stratum-01-block-09,same_account_same_community,cosine_distance_v1,4,0.15136689245331847,[],0.15136689245331847,ok,stratum-01,retained_prose,within_community,same_author
A/Y,full,stratum-01-block-09,different_account_same_community,cosine_distance_v1,4,0.16760783516412348,[],0.16760783516412348,ok,stratum-01,retained_prose,within_community,different_author
A/Y,full,stratum-01-block-09,same_account_different_community,cosine_distance_v1,4,0.1656425309010231,[],0.1656425309010231,ok,stratum-01,retained_prose,cross_community,same_author
A/Y,full,stratum-01-block-09,different_account_different_community,cosine_distance_v1,4,0.17740914198831315,[],0.17740914198831315,ok,stratum-01,retained_prose,cross_community,different_author
B/X,full,stratum-01-block-09,same_account_same_community,cosine_distance_v1,4,0.14749821582583988,[],0.14749821582583988,ok,stratum-01,retained_prose,within_community,same_author
B/X,full,stratum-01-block-09,different_account_same_community,cosine_distance_v1,4,0.14763201545391857,[],0.14763201545391857,ok,stratum-01,retained_prose,within_community,different_author
B/X,full,stratum-01-block-09,same_account_different_community,cosine_distance_v1,4,0.1636581615266619,[],0.1636581615266619,ok,stratum-01,retained_prose,cross_community,same_author
B/X,full,stratum-01-block-09,different_account_different_community,cosine_distance_v1,4,0.16382706250477064,[],0.16382706250477064,ok,stratum-01,retained_prose,cross_community,different_author
B/Y,full,stratum-01-block-09,same_account_same_community,cosine_distance_v1,4,0.1699235078183341,[],0.1699235078183341,ok,stratum-01,retained_prose,within_community,same_author
B/Y,full,stratum-01-block-09,different_account_same_community,cosine_distance_v1,4,0.16202296644683956,[],0.16202296644683956,ok,stratum-01,retained_prose,within_community,different_author
B/Y,full,stratum-01-block-09,same_account_different_community,cosine_distance_v1,4,0.13660776507928407,[],0.13660776507928407,ok,stratum-01,retained_prose,cross_community,same_author
B/Y,full,stratum-01-block-09,different_account_different_community,cosine_distance_v1,4,0.1632967844767096,[],0.1632967844767096,ok,stratum-01,retained_prose,cross_community,different_author
A/X,full,stratum-01-block-10,same_account_same_community,cosine_distance_v1,4,0.192598754527048,[],0.192598754527048,ok,stratum-01,retained_prose,within_community,same_author
A/X,full,stratum-01-block-10,different_account_same_community,cosine_distance_v1,4,0.23199312822464146,[],0.23199312822464146,ok,stratum-01,retained_prose,within_community,different_author
A/X,full,stratum-01-block-10,same_account_different_community,cosine_distance_v1,4,0.1967943745758436,[],0.1967943745758436,ok,stratum-01,retained_prose,cross_community,same_author
A/X,full,stratum-01-block-10,different_account_different_community,cosine_distance_v1,4,0.278487221645487,[],0.278487221645487,ok,stratum-01,retained_prose,cross_community,different_author
A/Y,full,stratum-01-block-10,same_account_same_community,cosine_distance_v1,4,0.16790435729626108,[],0.16790435729626108,ok,stratum-01,retained_prose,within_community,same_author
A/Y,full,stratum-01-block-10,different_account_same_community,cosine_distance_v1,4,0.23396234020622064,[],0.23396234020622064,ok,stratum-01,retained_prose,within_community,different_author
A/Y,full,stratum-01-block-10,same_account_different_community,cosine_distance_v1,4,0.15973141761718335,[],0.15973141761718335,ok,stratum-01,retained_prose,cross_community,same_author
A/Y,full,stratum-01-block-10,different_account_different_community,cosine_distance_v1,4,0.19217231591771744,[],0.19217231591771744,ok,stratum-01,retained_prose,cross_community,different_author
B/X,full,stratum-01-block-10,same_account_same_community,cosine_distance_v1,4,0.1740076559216691,[],0.1740076559216691,ok,stratum-01,retained_prose,within_community,same_author
B/X,full,stratum-01-block-10,different_account_same_community,cosine_distance_v1,4,0.19202818372981312,[],0.19202818372981312,ok,stratum-01,retained_prose,within_community,different_author
B/X,full,stratum-01-block-10,same_account_different_community,cosine_distance_v1,4,0.1853875917454414,[],0.1853875917454414,ok,stratum-01,retained_prose,cross_community,same_author
B/X,full,stratum-01-block-10,different_account_different_community,cosine_distance_v1,4,0.1898873074566645,[],0.1898873074566645,ok,stratum-01,retained_prose,cross_community,different_author
B/Y,full,stratum-01-block-10,same_account_same_community,cosine_distance_v1,4,0.23393851224018658,[],0.23393851224018658,ok,stratum-01,retained_prose,within_community,same_author
B/Y,full,stratum-01-block-10,different_account_same_community,cosine_distance_v1,4,0.2050613945157599,[],0.2050613945157599,ok,stratum-01,retained_prose,within_community,different_author
B/Y,full,stratum-01-block-10,same_account_different_community,cosine_distance_v1,4,0.19005111688917475,[],0.19005111688917475,ok,stratum-01,retained_prose,cross_community,same_author
B/Y,full,stratum-01-block-10,different_account_different_community,cosine_distance_v1,4,0.20478346903145217,[],0.20478346903145217,ok,stratum-01,retained_prose,cross_community,different_author
A/X,full,stratum-02-block-01,same_account_same_community,cosine_distance_v1,4,0.17083398694613405,[],0.17083398694613405,ok,stratum-02,retained_prose,within_community,same_author
A/X,full,stratum-02-block-01,different_account_same_community,cosine_distance_v1,4,0.2032708951837049,[],0.2032708951837049,ok,stratum-02,retained_prose,within_community,different_author
