method_id,view,n,arm,stratum_id,category,value_kind,planned_cases,null_values,count,mean,min,q25,median,q75,max
cosine_distance_v1,retained_prose,4,full,stratum-03,same_account_different_community,score,40,0,40,0.20697967968049774,0.13570328244185037,0.1806686797236865,0.1955330213014861,0.22236072044890273,0.363595986676715
cosine_distance_v1,retained_prose,4,full,stratum-03,same_account_different_community,raw_distance,40,0,40,0.20697967968049774,0.13570328244185037,0.1806686797236865,0.1955330213014861,0.22236072044890273,0.363595986676715
cosine_distance_v1,retained_prose,4,full,stratum-03,different_account_different_community,score,40,0,40,0.24385623756561392,0.17213757947171127,0.2127458376978238,0.23807203830891238,0.26495584595219585,0.36341849891760203
cosine_distance_v1,retained_prose,4,full,stratum-03,different_account_different_community,raw_distance,40,0,40,0.24385623756561392,0.17213757947171127,0.2127458376978238,0.23807203830891238,0.26495584595219585,0.36341849891760203
cosine_distance_v1,retained_prose,4,hash75,stratum-01,same_account_same_community,score,40,5,35,0.19957835707402236,0.14781198540707274,0.17926530718419614,0.1945799702687424,0.2160235237556989,0.28731902898218
cosine_distance_v1,retained_prose,4,hash75,stratum-01,same_account_same_community,raw_distance,40,0,40,0.20605189359500078,0.14781198540707274,0.18034818874803593,0.20280092813413642,0.22546695701207797,0.28936967289892235
cosine_distance_v1,retained_prose,4,hash75,stratum-01,different_account_same_community,score,40,4,36,0.2304471707830391,0.17277788321106358,0.20878747500348988,0.22175962885693,0.2393887718102392,0.3221075645877405
cosine_distance_v1,retained_prose,4,hash75,stratum-01,different_account_same_community,raw_distance,40,0,40,0.23489969037123984,0.17277788321106358,0.21009657493409067,0.22412403373716222,0.258616727062576,0.3221075645877405
cosine_distance_v1,retained_prose,4,hash75,stratum-01,same_account_different_community,score,40,4,36,0.1995510290709111,0.15511683646966723,0.18295032165404135,0.19188394576772894,0.21903393043312636,0.25238753045288276
cosine_distance_v1,retained_prose,4,hash75,stratum-01,same_account_different_community,raw_distance,40,0,40,0.2051617868768524,0.15511683646966723,0.18469856910367968,0.1953505710657381,0.22778114850622153,0.2791062510249057
cosine_distance_v1,retained_prose,4,hash75,stratum-01,different_account_different_community,score,40,5,35,0.22959806345905298,0.18054716256675352,0.21008561150988442,0.22354078872947458,0.24674186708922813,0.323685872670461
cosine_distance_v1,retained_prose,4,hash75,stratum-01,different_account_different_community,raw_distance,40,0,40,0.2351629793179138,0.18054716256675352,0.2104448435408454,0.23385082886561798,0.2493008309582533,0.323685872670461
cosine_distance_v1,retained_prose,4,hash75,stratum-02,same_account_same_community,score,40,7,33,0.22405865455218746,0.1676550970341757,0.18743515807333533,0.20467981015133163,0.23163830687447606,0.6188835829930341
cosine_distance_v1,retained_prose,4,hash75,stratum-02,same_account_same_community,raw_distance,40,0,40,0.2321146617127457,0.1676550970341757,0.19342048469133938,0.21729144965526348,0.23949524865317304,0.6188835829930341
cosine_distance_v1,retained_prose,4,hash75,stratum-02,different_account_same_community,score,40,7,33,0.2555200946316369,0.18076513693718077,0.22017910437571675,0.2440430385360134,0.25867134170084893,0.6112949884546068
cosine_distance_v1,retained_prose,4,hash75,stratum-02,different_account_same_community,raw_distance,40,0,40,0.26567856704795717,0.18076513693718077,0.221046619201327,0.24616317009424876,0.28547205814721643,0.6112949884546068
cosine_distance_v1,retained_prose,4,hash75,stratum-02,same_account_different_community,score,40,7,33,0.23334647957934132,0.15549816634514624,0.20795946074430172,0.21934233507175682,0.23660997536761486,0.6114744348935439
cosine_distance_v1,retained_prose,4,hash75,stratum-02,same_account_different_community,raw_distance,40,0,40,0.24498632750998647,0.15549816634514624,0.21181184319138968,0.22921576085782835,0.25211304559589454,0.6114744348935439
cosine_distance_v1,retained_prose,4,hash75,stratum-02,different_account_different_community,score,40,7,33,0.2587882165606822,0.18618380189962613,0.22539261247138664,0.24311547664365218,0.2705171752530181,0.6143225243537368
cosine_distance_v1,retained_prose,4,hash75,stratum-02,different_account_different_community,raw_distance,40,0,40,0.26792708195401094,0.18618380189962613,0.22823340979434192,0.25196332654356174,0.2775262403154738,0.6143225243537368
cosine_distance_v1,retained_prose,4,hash75,stratum-03,same_account_same_community,score,40,2,38,0.22843270091163123,0.1509889641379878,0.18442354540889694,0.2297247250545112,0.2551730324447784,0.4520841114450309
cosine_distance_v1,retained_prose,4,hash75,stratum-03,same_account_same_community,raw_distance,40,0,40,0.23170918093859189,0.1509889641379878,0.18884752821358508,0.23334497798142934,0.25740177797117675,0.4520841114450309
cosine_distance_v1,retained_prose,4,hash75,stratum-03,different_account_same_community,score,40,2,38,0.26841662408964023,0.1930012958867482,0.22556491871590903,0.2658164062574683,0.30535214190618687,0.42254294764427525
cosine_distance_v1,retained_prose,4,hash75,stratum-03,different_account_same_community,raw_distance,40,0,40,0.2728477099488372,0.1930012958867482,0.22556710509646813,0.2698329789756102,0.31015096640710327,0.42254294764427525
cosine_distance_v1,retained_prose,4,hash75,stratum-03,same_account_different_community,score,40,2,38,0.2410594151969084,0.14656816112271798,0.2096317910211466,0.22832434884372277,0.27127628069783555,0.4811101795031082
cosine_distance_v1,retained_prose,4,hash75,stratum-03,same_account_different_community,raw_distance,40,0,40,0.2462015376809082,0.14656816112271798,0.21030765152631903,0.2292983012505722,0.2738260613964223,0.4811101795031082
