stratum_id,communities,cut,whole_history_necessary_accounts,accounts_with_four_volume_cells,accounts_passing_internal_gates,compatible_edges,maximum_disjoint_blocks,cost_numerator,cost_denominator,matching_dp_states,intended_block_deficit
stratum-01,AskAcademia / GradSchool,2015-09-01T00:00:00Z,38,1,0,0,0,0,1,0,2
stratum-01,AskAcademia / GradSchool,2015-10-01T00:00:00Z,38,2,0,0,0,0,1,0,2
stratum-01,AskAcademia / GradSchool,2015-11-01T00:00:00Z,38,2,0,0,0,0,1,0,2
stratum-01,AskAcademia / GradSchool,2015-12-01T00:00:00Z,38,0,0,0,0,0,1,0,2
stratum-01,AskAcademia / GradSchool,2016-01-01T00:00:00Z,38,0,0,0,0,0,1,0,2
stratum-01,AskAcademia / GradSchool,2016-02-01T00:00:00Z,38,0,0,0,0,0,1,0,2
stratum-01,AskAcademia / GradSchool,2016-03-01T00:00:00Z,38,0,0,0,0,0,1,0,2
stratum-01,AskAcademia / GradSchool,2016-04-01T00:00:00Z,38,1,1,0,0,0,1,2,2
stratum-01,AskAcademia / GradSchool,2016-05-01T00:00:00Z,38,0,0,0,0,0,1,0,2
stratum-01,AskAcademia / GradSchool,2016-06-01T00:00:00Z,38,1,1,0,0,0,1,2,2
stratum-01,AskAcademia / GradSchool,2016-07-01T00:00:00Z,38,2,1,0,0,0,1,2,2
stratum-01,AskAcademia / GradSchool,2016-08-01T00:00:00Z,38,2,1,0,0,0,1,2,2
stratum-01,AskAcademia / GradSchool,2016-09-01T00:00:00Z,38,1,0,0,0,0,1,0,2
stratum-01,AskAcademia / GradSchool,2016-10-01T00:00:00Z,38,1,0,0,0,0,1,0,2
stratum-01,AskAcademia / GradSchool,2016-11-01T00:00:00Z,38,1,0,0,0,0,1,0,2
stratum-01,AskAcademia / GradSchool,2016-12-01T00:00:00Z,38,1,0,0,0,0,1,0,2
stratum-01,AskAcademia / GradSchool,2017-01-01T00:00:00Z,38,3,1,0,0,0,1,2,2
stratum-01,AskAcademia / GradSchool,2017-02-01T00:00:00Z,38,4,2,0,0,0,1,4,2
stratum-01,AskAcademia / GradSchool,2017-03-01T00:00:00Z,38,3,2,0,0,0,1,4,2
stratum-01,AskAcademia / GradSchool,2017-04-01T00:00:00Z,38,2,0,0,0,0,1,0,2
stratum-01,AskAcademia / GradSchool,2017-05-01T00:00:00Z,38,4,2,0,0,0,1,4,2
stratum-01,AskAcademia / GradSchool,2017-06-01T00:00:00Z,38,3,2,0,0,0,1,4,2
stratum-01,AskAcademia / GradSchool,2017-07-01T00:00:00Z,38,3,0,0,0,0,1,0,2
stratum-01,AskAcademia / GradSchool,2017-08-01T00:00:00Z,38,3,1,0,0,0,1,2,2
stratum-01,AskAcademia / GradSchool,2017-09-01T00:00:00Z,38,3,1,0,0,0,1,2,2
stratum-01,AskAcademia / GradSchool,2017-10-01T00:00:00Z,38,3,1,0,0,0,1,2,2
stratum-01,AskAcademia / GradSchool,2017-11-01T00:00:00Z,38,3,0,0,0,0,1,0,2
stratum-01,AskAcademia / GradSchool,2017-12-01T00:00:00Z,38,3,2,0,0,0,1,4,2
stratum-01,AskAcademia / GradSchool,2018-01-01T00:00:00Z,38,4,3,0,0,0,1,6,2
stratum-01,AskAcademia / GradSchool,2018-02-01T00:00:00Z,38,3,1,0,0,0,1,2,2
stratum-01,AskAcademia / GradSchool,2018-03-01T00:00:00Z,38,3,2,0,0,0,1,4,2
stratum-01,AskAcademia / GradSchool,2018-04-01T00:00:00Z,38,2,0,0,0,0,1,0,2
stratum-01,AskAcademia / GradSchool,2018-05-01T00:00:00Z,38,2,1,0,0,0,1,2,2
stratum-02,AskPhysics / Physics,2010-01-01T00:00:00Z,33,0,0,0,0,0,1,0,2
stratum-02,AskPhysics / Physics,2010-02-01T00:00:00Z,33,0,0,0,0,0,1,0,2
stratum-02,AskPhysics / Physics,2010-03-01T00:00:00Z,33,0,0,0,0,0,1,0,2
stratum-02,AskPhysics / Physics,2010-04-01T00:00:00Z,33,0,0,0,0,0,1,0,2
stratum-02,AskPhysics / Physics,2010-05-01T00:00:00Z,33,0,0,0,0,0,1,0,2
stratum-02,AskPhysics / Physics,2010-06-01T00:00:00Z,33,0,0,0,0,0,1,0,2
stratum-02,AskPhysics / Physics,2010-07-01T00:00:00Z,33,0,0,0,0,0,1,0,2
stratum-02,AskPhysics / Physics,2010-08-01T00:00:00Z,33,0,0,0,0,0,1,0,2
stratum-02,AskPhysics / Physics,2010-09-01T00:00:00Z,33,0,0,0,0,0,1,0,2
stratum-02,AskPhysics / Physics,2010-10-01T00:00:00Z,33,0,0,0,0,0,1,0,2
